rank,task_id,onet_code,occupation,task,passes_filters,dropped_by,opportunity,fit,money,scale,scale_source,labor_value,reads_text,closed_outcome,writes_content,physical,live_human,same_rules,errors_lose_money,loss_recoverable,recoverable_loss,outcome_visible,speed_value,digital_input,licensed_signoff,time_per_item,volume,money_link,buyer,buyer_conf,sell_model,sell_model_conf,min_score_conf,uncertain,model_reported,request_id
16,15661,11-3031.03,Investment Fund Managers,Verify regulatory compliance of transaction reporting.,1,,0.6988,0.8210,0.6691,0.9244,labor_value_percentile,1644668134,0.9300,0.8200,0.1900,0,0.0700,0.8200,0.9200,0.3700,0.3404,0.8100,0.6000,1,0.2100,1.3500,0.7300,2.4300,banking_fintech,0.5500,other,0.3200,0.4300,0,jev-1.13.0,req_01a0d5e5d11778368e2348564f332f87
17,3413,13-2072.00,Loan Officers,Review loan agreements to ensure that they are complete and accurate according to policy.,1,,0.6956,0.7950,0.7650,0.8309,labor_value_percentile,720773037,0.9500,0.5300,0.1000,0.0033,0.0900,0.8800,0.9300,0.4600,0.4278,0.8600,0.8300,0.9700,0.1600,1.1100,1.6500,2.8400,banking_fintech,1,per_item,0.7400,0.6300,0,jev-1.13.0,req_01a0d5dc72537856aaf027f8af832e72
18,23324,43-9041.00,Insurance Claims and Policy Processing Clerks,"Compare information from application to criteria for policy reinstatement, and approve reinstatement when criteria are met.",1,,0.6918,0.8650,0.7262,0.7033,labor_value_percentile,372664805,0.9500,0.9600,0.0800,0.0033,0.1100,0.8800,0.9300,0.5000,0.4650,0.8400,0.8800,0.8200,0.2400,0.9900,1.1900,2.5100,insurance,1,per_item,0.6500,0.4900,0,jev-1.13.0,req_01a0d5ec4c2c73c7bdf4232f62b1d7cd
19,21646,13-2072.00,Loan Officers,Review accounts to determine write-offs for collection agencies.,1,,0.6914,0.8300,0.6978,0.8257,labor_value_percentile,701278923,0.9400,0.8600,0.1500,0,0.1000,0.6300,0.9200,0.2600,0.2392,0.8200,0.7500,1,0.1600,1.1400,1.6400,2.8500,banking_fintech,0.9500,contingency,0.3700,0.6000,0,jev-1.13.0,req_01a0d5eaa09c798bbaa1c0c71fda2e70
20,9736,43-4061.00,"Eligibility Interviewers, Government Programs","Compile, record, and evaluate personal and financial data to verify completeness and accuracy, and to determine eligibility status.",1,,0.6913,0.7900,0.7866,0.8141,labor_value_percentile,658400031,0.8600,0.9000,0.1300,0.0233,0.1900,0.8000,0.9500,0.6700,0.6365,0.8700,0.8000,0.6100,0.0700,1.4700,1.8600,2.5100,government,1,not_outsourced,0.5900,0.5100,0,jev-1.13.0,req_01a0d5d9c34a788aaf26e8efc31b72dc
21,23238,43-3021.00,Billing and Posting Clerks,Verify accuracy of billing data and revise any errors.,1,,0.6912,0.7695,0.7328,0.9181,labor_value_percentile,1509623001,0.9200,0.3000,0.1000,0,0.0500,0.7100,0.9600,0.6800,0.6528,0.8700,0.8100,1,0.0600,0.5400,1.8700,2.0700,healthcare_admin,0.7600,per_item,0.5500,0.6900,0,jev-1.13.0,req_01a0d5ec3605704bb964d1dfed2c27a9
22,22877,29-2072.00,Medical Records Specialists,"Assign the patient to diagnosis-related groups (DRGs), using appropriate computer software.",1,,0.6884,0.8660,0.8037,0.6429,labor_value_percentile,291054879,0.8800,0.9300,0.1800,0,0.0400,0.8300,0.9500,0.6200,0.5890,0.8500,0.7300,1,0.2000,0.7800,1.9600,2.7900,healthcare_admin,1,per_item,0.9100,0.7700,0,jev-1.13.0,req_01a0d5ebda0e709c815ab01eb26aae38
23,20175,11-9041.00,Architectural and Engineering Managers,"Review, recommend, or approve contracts or cost estimates.",1,,0.6876,0.7595,0.7820,0.8903,labor_value_percentile,1163621641,0.8700,0.8000,0.1300,0,0.1700,0.3400,0.9500,0.4900,0.4655,0.8300,0.7500,0.9700,0.1200,1.4400,0.4600,2.9500,real_estate,0.7600,not_outsourced,0.7600,0.5400,0,jev-1.13.0,req_01a0d5e95ac17a7983e14ba7bc07b29b
24,22890,29-2072.00,Medical Records Specialists,"Review records for completeness, accuracy, and compliance with regulations.",1,,0.6869,0.7895,0.7432,0.8676,labor_value_percentile,973789866,0.9500,0.4500,0.1300,0.0067,0.0600,0.8500,0.9400,0.5800,0.5452,0.8300,0.6900,0.9900,0.1200,0.9300,1.9200,2.4800,healthcare_admin,1,per_item,0.5800,0.4900,0,jev-1.13.0,req_01a0d5ebdcf579c9842fab9c64ef8d5e
25,21427,13-1031.00,"Claims Adjusters, Examiners, and Investigators","Examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.",1,,0.6820,0.7535,0.8122,0.8516,labor_value_percentile,841576597,0.8500,0.9200,0.1400,0.1000,0.1700,0.3700,0.9500,0.5900,0.5605,0.8800,0.7900,0.9900,0.1500,1.9800,1.6300,2.8500,insurance,1,per_item,0.4000,0.6300,0,jev-1.13.0,req_01a0d5ea68887c6aa4dbc2c767f3e8be
26,3409,13-2072.00,Loan Officers,"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",1,,0.6815,0.7665,0.7593,0.8632,labor_value_percentile,933377228,0.8800,0.8500,0.1500,0.0200,0.2000,0.5000,0.9400,0.3000,0.2820,0.9200,0.8500,0.9900,0.1200,1.8300,1.6000,2.9900,banking_fintech,1,per_item,0.6100,0.5900,0,jev-1.13.0,req_01a0d5dc716f7ac8a72b155c56419770
27,1031,11-3061.00,Purchasing Managers,"Review, evaluate, and approve specifications for issuing and awarding bids.",1,,0.6779,0.7785,0.7794,0.8209,labor_value_percentile,683027649,0.8800,0.8300,0.1400,0.0033,0.1500,0.4500,0.9400,0.4800,0.4512,0.8400,0.7500,0.9900,0.0800,1.5600,0.6500,2.9400,logistics_supply_chain,0.9900,not_outsourced,0.8100,0.3500,1,jev-1.13.0,req_01a0d5dab9d97e2f8eb67184b32bc6b4
28,22881,29-2072.00,Medical Records Specialists,"Identify, compile, abstract, and code patient data, using standard classification systems.",1,,0.6775,0.7980,0.7653,0.7912,labor_value_percentile,582195397,0.8500,0.7000,0.3100,0.0167,0.0900,0.8400,0.9600,0.6100,0.5856,0.8500,0.7400,0.9100,0.1100,0.8100,2.0700,2.5100,healthcare_admin,1,per_item,0.9700,0.5100,0,jev-1.13.0,req_01a0d5d9c62177cbaacd522b8896500f
29,21647,13-2072.00,Loan Officers,Review billing for accuracy.,1,,0.6769,0.7870,0.7465,0.8257,labor_value_percentile,701278923,0.9300,0.4500,0.1100,0,0.1000,0.7200,0.9200,0.6300,0.5796,0.8600,0.7900,0.9900,0.1100,0.6600,1.3100,2.3600,banking_fintech,0.9700,per_item,0.7100,0.4200,0,jev-1.13.0,req_01a0d5eaa0c1798fa779d3c2dc7b81a5
30,20279,43-5071.00,"Shipping, Receiving, and Inventory Clerks","Determine shipping methods, routes, or rates for materials to be shipped.",1,,0.6759,0.7835,0.6222,0.9696,labor_value_percentile,3112508923,0.7900,0.7900,0.1000,0.0500,0.1200,0.2700,0.9400,0.3800,0.3572,0.8100,0.8000,0.9800,0.0400,0.7500,1.5400,2.0400,logistics_supply_chain,1,not_outsourced,0.6300,0.4800,0,jev-1.13.0,req_01a0d5e9733a7f28b48d90deed43b937
31,23318,43-9041.00,Insurance Claims and Policy Processing Clerks,Review insurance policy to determine coverage.,1,,0.6751,0.8115,0.7488,0.7522,labor_value_percentile,474690763,0.9500,0.6700,0.1100,0.0067,0.1100,0.8000,0.9400,0.5300,0.4982,0.8600,0.8600,0.8900,0.2000,0.9000,1.6400,2.5600,insurance,1,per_item,0.5700,0.5600,0,jev-1.13.0,req_01a0d5ec48bc7d4391bb923ebae8d699
32,18876,13-1071.00,Human Resources Specialists,"Review and evaluate applicant qualifications or eligibility for specified licensing, according to established guidelines and designated licensing codes.",1,,0.6742,0.8610,0.4869,0.9469,labor_value_percentile,2249162715,0.9500,0.8400,0.1400,0.0033,0.0900,0.9000,0.7500,0.4100,0.3075,0.8000,0.8200,0.9300,0.2100,0.8100,0.9400,1.1600,hr_recruiting,0.7400,per_item,0.7100,0.3800,1,jev-1.13.0,req_01a0d5e859467d82b46570200f756452
33,7227,11-9141.00,"Property, Real Estate, and Community Association Managers","Determine and certify the eligibility of prospective tenants, following government regulations.",1,,0.6699,0.8315,0.6882,0.7642,labor_value_percentile,503339594,0.8300,0.9400,0.1600,0.0200,0.3200,0.8300,0.8900,0.4600,0.4094,0.8400,0.8200,0.9200,0.1300,1.0500,1.1000,2.3500,real_estate,1,per_item,0.7600,0.5500,0,jev-1.13.0,req_01a0d5df71817412ac17b8f1624dfb73
34,2555,43-3071.00,Tellers,Identify transaction mistakes when debits and credits do not balance.,1,,0.6690,0.7985,0.7168,0.8074,labor_value_percentile,634493343,0.8600,0.5200,0.0800,0.0633,0.0700,0.7700,0.9300,0.6300,0.5859,0.8700,0.8000,0.9500,0.0800,0.6000,1.6000,2.1000,banking_fintech,0.9900,not_outsourced,0.5400,0.2200,1,jev-1.13.0,req_01a0d5dbd5107c6f8688b0d64d875b61
35,2509,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Match order forms with invoices, and record the necessary information.",1,,0.6646,0.7410,0.6982,0.9580,labor_value_percentile,2575895665,0.8600,0.5500,0.1300,0.1267,0.0400,0.7900,0.9200,0.6600,0.6072,0.8400,0.7900,0.2100,0.0500,0.4200,1.7800,1.9800,accounting_finance_ops,1,per_item,0.8400,0.6100,0,jev-1.13.0,req_01a0d5d9c1f87d318c9fce4a4c864f93
36,20693,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Check all load-related documentation for completeness and accuracy.,1,,0.6640,0.7590,0.6381,0.9890,labor_value_percentile,5156422337,0.9100,0.5700,0.0700,0.0833,0.0500,0.8400,0.9100,0.4900,0.4459,0.7300,0.7400,0.3100,0.1100,0.6300,0.9100,2.1400,logistics_supply_chain,1,per_item,0.5000,0.4600,0,jev-1.13.0,req_01a0d5e9c11c78aa85027d118e9829cb
37,23239,43-3021.00,Billing and Posting Clerks,Verify signatures and required information on checks.,1,,0.6620,0.8025,0.7043,0.7960,labor_value_percentile,595165078,0.9300,0.8200,0.0600,0.1367,0.0500,0.8500,0.9300,0.6200,0.5766,0.8600,0.7800,0.0400,0.0700,0.4200,1.4500,2.0500,healthcare_admin,0.4700,per_item,0.4500,0.3400,1,jev-1.13.0,req_01a0d5ec363f71ebb1b179a08b662f0a
38,20276,43-5071.00,"Shipping, Receiving, and Inventory Clerks","Examine shipment contents and compare with records, such as manifests, invoices, or orders, to verify accuracy.",1,,0.6618,0.7490,0.6501,0.9850,labor_value_percentile,4495131109,0.7600,0.7800,0.0700,0.5800,0.0400,0.7900,0.9300,0.4400,0.4092,0.8600,0.7900,0.0800,0.0400,0.6600,1.7500,2.0200,logistics_supply_chain,1,not_outsourced,0.4000,0.6100,0,jev-1.13.0,req_01a0d5e9727e75a4bded64617738de3a
39,3780,23-1011.00,Lawyers,Examine legal data to determine advisability of defending or prosecuting lawsuit.,1,,0.6554,0.7135,0.7188,0.9942,labor_value_percentile,6526163024,0.9200,0.8200,0.1700,0,0.0900,0.1300,0.8900,0.2700,0.2403,0.8400,0.7200,1,0.3600,1.8000,0.9600,2.9600,legal,1,not_outsourced,0.3800,0.5600,0,jev-1.13.0,req_01a0d5dcb2ee78299dbe21a4123ac38a
40,86,13-1051.00,Cost Estimators,Review material and labor requirements to decide whether it is more cost-effective to produce or purchase components.,1,,0.6554,0.7555,0.7074,0.8941,labor_value_percentile,1204131234,0.8000,0.9300,0.1400,0.0200,0.0800,0.1600,0.9500,0.2400,0.2280,0.8500,0.7300,0.9600,0.0500,1.5900,0.7500,2.8800,manufacturing_quality,0.7700,other,0.5200,0.4200,0,jev-1.13.0,req_01a0d5da0f857b98aebc201b43881d18
41,2505,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Monitor status of loans and accounts to ensure that payments are up to date.,1,,0.6541,0.7420,0.6966,0.9315,labor_value_percentile,1780746108,0.8700,0.2500,0.0800,0,0.1000,0.7900,0.9200,0.6000,0.5520,0.8900,0.7600,1,0.0600,0.8400,1.6600,1.9800,banking_fintech,0.6500,subscription,0.2800,0.5300,0,jev-1.13.0,req_01a0d5dbc99b7001bdc5be5da1968f0a
42,15666,11-3031.03,Investment Fund Managers,Review offering documents or marketing materials to ensure regulatory compliance.,1,,0.6520,0.7835,0.6365,0.9190,labor_value_percentile,1521619180,0.9600,0.6300,0.1400,0,0.0500,0.7900,0.9000,0.2600,0.2340,0.7900,0.6000,0.9900,0.2100,1.5000,0.2000,2.4700,banking_fintech,0.4300,other,0.4000,0.4700,0,jev-1.13.0,req_01a0d5e5d2527e5b91be8cf7989cc6d2
43,972,11-3021.00,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,1,,0.6500,0.7915,0.5458,0.9935,labor_value_percentile,6417064547,0.9100,0.9100,0.0900,0,0.0700,0.3600,0.7200,0.3200,0.2304,0.7800,0.6600,0.9600,0.0800,1.6800,0.7000,1.8200,software_it,1,not_outsourced,0.5100,0.1600,1,jev-1.13.0,req_01a0d5daaa947fd4960e84deecdc9203
44,21361,11-3071.00,"Transportation, Storage, and Distribution Managers",Examine invoices and shipping manifests for conformity to tariff and customs regulations.,1,,0.6493,0.8185,0.7704,0.6641,labor_value_percentile,318352267,0.9500,0.7200,0.1200,0.0100,0.0500,0.8500,0.9500,0.5500,0.5225,0.8500,0.7700,0.7100,0.0900,0.9600,1.0800,2.6900,logistics_supply_chain,0.9900,per_item,0.4100,0.4700,0,jev-1.13.0,req_01a0d5ea57957c049649c54dac723495
45,15941,13-1041.08,Customs Brokers,Classify goods according to tariff coding system.,1,,0.6473,0.8135,0.8139,0.6247,labor_value_percentile,272405988,0.8500,0.9000,0.1400,0.0167,0.0900,0.7700,0.9600,0.5900,0.5664,0.8800,0.8000,0.8700,0.3100,1.0200,1.5400,2.8500,logistics_supply_chain,0.9700,per_item,0.7500,0.4800,0,jev-1.13.0,req_01a0d5e6066c7af8a9d7130644437ebb
46,21045,13-2053.00,Insurance Underwriters,"Examine documents to determine degree of risk from factors such as applicant health, financial standing and value, and condition of property.",1,,0.6461,0.7250,0.7216,0.9085,labor_value_percentile,1379117369,0.9600,0.4700,0.1300,0.0033,0.0600,0.4500,0.9500,0.2500,0.2375,0.8700,0.8500,0.8900,0.1600,1.2600,1.8700,2.9200,insurance,1,per_item,0.6100,0.8400,0,jev-1.13.0,req_01a0d5d9d2217ea8a4b4a77d203adaf5
47,20620,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Verify customer credit ratings.,1,,0.6460,0.8305,0.7198,0.6705,labor_value_percentile,327267454,0.8700,0.7300,0.0800,0,0.1700,0.7100,0.8900,0.3900,0.3471,0.8700,0.8300,0.9900,0.0700,0.7200,0.6200,2.6600,sales_marketing,0.8600,per_item,0.6700,0.3800,1,jev-1.13.0,req_01a0d5e9b7737f70be734e7a09982fd9
48,2493,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Code documents according to company procedures.,1,,0.6442,0.7930,0.5542,0.9593,labor_value_percentile,2623901518,0.6400,0.7800,0.1100,0.0433,0.0400,0.8800,0.8400,0.6200,0.5208,0.6600,0.6700,0.6700,0.0600,0.5400,1.8500,1.5000,accounting_finance_ops,1,per_item,0.7500,0.4500,0,jev-1.13.0,req_01a0d5dbc67e7b78a00a8b4fa415ad23
49,21533,13-2011.00,Accountants and Auditors,Process invoices for payment.,1,,0.6421,0.6885,0.7424,0.9823,labor_value_percentile,4166315669,0.6000,0.2000,0.1000,0.0067,0.0600,0.7400,0.9600,0.6900,0.6624,0.8700,0.8000,0.9500,0.0800,0.3900,1.5700,2.1200,accounting_finance_ops,1,per_item,0.7500,0.4500,0,jev-1.13.0,req_01a0d5ea83e27657b553030d1985adde
50,2503,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Reconcile records of bank transactions.,1,,0.6382,0.7155,0.7201,0.9420,labor_value_percentile,2096407778,0.8200,0.2500,0.1400,0.0033,0.0500,0.7600,0.9400,0.6600,0.6204,0.8600,0.6800,0.9900,0.0600,1.0200,1.3600,2.0700,accounting_finance_ops,0.9100,other,0.3600,0.3700,1,jev-1.13.0,req_01a0d5dbc90d7f989fba0190f8d54951
51,1266,13-2053.00,Insurance Underwriters,Authorize reinsurance of policy when risk is high.,1,,0.6374,0.7300,0.7284,0.8746,labor_value_percentile,1034327067,0.6900,0.8600,0.1300,0,0.1000,0.4500,0.9400,0.3100,0.2914,0.8300,0.7800,0.9800,0.4500,1.2000,0.4700,2.9400,insurance,1,not_outsourced,0.6800,0.5300,0,jev-1.13.0,req_01a0d5dadae97a27b52e2674c34150e3
52,18868,13-1071.00,Human Resources Specialists,Review employment applications and job orders to match applicants with job requirements.,1,,0.6359,0.8235,0.4559,0.9735,labor_value_percentile,3348288606,0.8900,0.7900,0.1000,0.0067,0.1100,0.4900,0.6700,0.2600,0.1742,0.7900,0.7500,1,0.0400,0.8400,1.6000,1.2500,hr_recruiting,1,per_lead,0.5200,0.5800,0,jev-1.13.0,req_01a0d5d9c5567224a65dc8d4981e86bf
53,1939,29-2052.00,Pharmacy Technicians,Receive written prescription or refill requests and verify that information is complete and accurate.,1,,0.6359,0.7780,0.5868,0.9042,labor_value_percentile,1319753273,0.9000,0.7600,0.0600,0.0367,0.1100,0.8300,0.8600,0.4900,0.4214,0.8100,0.8200,0.2400,0.3000,0.3900,2.0500,1.6300,healthcare_admin,0.9900,per_item,0.4500,0.4000,0,jev-1.13.0,req_01a0d5db5aa07ca1909d26811e4f8e6a
54,1329,15-1244.00,Network and Computer Systems Administrators,Analyze equipment performance records to determine the need for repair or replacement.,1,,0.6332,0.7735,0.5977,0.9208,labor_value_percentile,1565849973,0.8900,0.8200,0.1700,0.0600,0.0400,0.2900,0.8300,0.3000,0.2490,0.8100,0.6700,1,0.0500,1.4700,0.2700,2.1000,software_it,0.9900,other,0.6200,0.1000,1,jev-1.13.0,req_01a0d5dae9ec774cb20f2444a6e4c6b4
55,15377,11-1011.03,Chief Sustainability Officers,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",1,,0.6328,0.7555,0.6792,0.8824,labor_value_percentile,1089073872,0.8500,0.8900,0.1200,0.0067,0.1200,0.2800,0.9100,0.2400,0.2184,0.7700,0.6000,1,0.0800,1.8900,0.3000,2.8700,other,0.5100,not_outsourced,0.4000,0.7000,0,jev-1.13.0,req_01a0d5e59aa2730c807be491d34d26dd
56,9710,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,"Review records or reports pertaining to activities such as production, payroll, or shipping to verify details, monitor work activities, or evaluate performance.",1,,0.6312,0.7430,0.5991,0.9787,labor_value_percentile,3779556109,0.9200,0.2700,0.1200,0.0067,0.0500,0.7000,0.9100,0.5900,0.5369,0.7800,0.7400,0.9800,0.0500,0.8700,1.3500,1.5300,accounting_finance_ops,0.5000,not_outsourced,0.6400,0.4800,0,jev-1.13.0,req_01a0d5e1377371889df94a69fda544ee
57,2552,43-3071.00,Tellers,"Examine checks for endorsements and to verify other information, such as dates, bank names, identification of the persons receiving payments, and the legality of the documents.",1,,0.6299,0.7415,0.7179,0.8232,labor_value_percentile,691817121,0.9100,0.5600,0.0600,0.4433,0.1000,0.8500,0.9500,0.5400,0.5130,0.8400,0.8500,0,0.0700,0.3900,2.4700,2.3400,banking_fintech,1,per_item,0.5400,0.2700,1,jev-1.13.0,req_01a0d5dbd4647633a3f6346692259aa7
58,18038,11-9199.01,Regulatory Affairs Managers,Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,1,,0.6281,0.8120,0.6189,0.7962,labor_value_percentile,595560131,0.9500,0.7000,0.1300,0.0033,0.0500,0.8200,0.9000,0.2700,0.2430,0.7800,0.6400,0.9600,0.1300,1.3500,0.7600,2.3400,manufacturing_quality,0.3700,per_item,0.3600,0.3400,1,jev-1.13.0,req_01a0d5e7b20371d7a95d7ec35e32b46f
59,15831,11-9199.10,Wind Energy Development Managers,"Review civil design, engineering, or construction technical documentation to ensure compliance with applicable government or industrial codes, standards, requirements, or regulations.",1,,0.6278,0.7780,0.6471,0.8505,labor_value_percentile,834755015,0.9500,0.6600,0.1600,0.0100,0.0600,0.8200,0.8900,0.2700,0.2403,0.7700,0.5900,0.9900,0.1300,1.8600,0.4000,2.5800,manufacturing_quality,0.5500,other,0.8500,0.5800,0,jev-1.13.0,req_01a0d5e5ef7b7dce860b344ff35119ef
