task_id,sample_group,split,reads_text,closed_outcome,writes_content,physical,live_human,same_rules,errors_lose_money,loss_recoverable,outcome_visible,speed_value,digital_input,licensed_signoff,time_per_item,volume,money_link,buyer,sell_model,labeler_a,labeler_b
2699,anchor_high,dev,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,1,2,1,hr_recruiting,per_lead,yes|yes|no|no|no|yes|no|no|yes|yes|yes|no|1|2|1|hr_recruiting|per_lead,yes|yes|no|no|no|yes|no|no|yes|yes|yes|no|1|2|1|hr_recruiting|per_lead
2704,likely_good,dev,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,1,1,1,hr_recruiting,per_item,yes|yes|no|no|no|yes|no|no|yes|yes|yes|no|1|1|1|hr_recruiting|per_item,yes|yes|no|no|no|yes|no|no|yes|yes|yes|no|1|1|1|hr_recruiting|per_item
2842,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|other
2862,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,0,2,1,real_estate,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|0|real_estate|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|1|real_estate|not_outsourced
2950,random,heldout,no,no,no,yes,no,no,no,no,yes,no,no,no,1,1,1,manufacturing_quality,per_item,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|manufacturing_quality|per_item,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|manufacturing_quality|per_item
3135,random,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced
3347,random,dev,no,no,no,no,no,no,yes,yes,yes,no,yes,no,1,1,2,other,other,no|no|no|no|no|no|yes|yes|yes|yes|yes|no|1|1|2|accounting_finance_ops|other,no|no|no|no|no|no|yes|yes|yes|no|yes|no|1|1|2|other|other
3362,random,dev,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,2,0,3,hr_recruiting,other,yes|no|no|no|no|no|yes|no|yes|no|yes|no|2|0|3|hr_recruiting|other,no|no|yes|no|no|no|yes|no|yes|yes|yes|no|2|0|3|hr_recruiting|other
3370,likely_good,heldout,no,no,no,no,yes,no,no,no,no,no,no,no,2,1,1,hr_recruiting,other,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|1|hr_recruiting|other,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|1|hr_recruiting|other
3513,likely_good,heldout,no,no,no,no,yes,no,no,no,no,no,yes,no,1,0,1,insurance,not_outsourced,no|no|no|no|yes|no|no|no|no|no|yes|no|1|0|1|insurance|not_outsourced,no|no|no|no|yes|no|no|no|no|no|yes|no|1|0|1|insurance|other
3573,likely_good,dev,no,no,no,no,no,no,yes,no,yes,no,yes,no,3,0,3,manufacturing_quality,other,no|no|no|no|no|no|yes|no|yes|no|yes|no|3|0|3|manufacturing_quality|other,no|no|no|no|no|no|yes|no|yes|no|yes|no|3|0|3|manufacturing_quality|other
3581,random,dev,yes,no,no,no,no,no,yes,no,yes,no,yes,no,3,0,3,manufacturing_quality,other,yes|no|no|no|no|no|yes|no|yes|no|yes|no|3|0|3|manufacturing_quality|other,yes|no|no|no|no|no|yes|no|yes|no|yes|no|3|0|3|manufacturing_quality|other
3676,likely_good,dev,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,2,2,1,government,per_item,no|yes|no|yes|no|yes|no|no|yes|yes|no|no|2|2|1|healthcare_admin|per_item,no|yes|no|yes|no|yes|no|no|yes|yes|no|no|2|2|1|government|per_item
3734,random,dev,no,yes,no,no,no,no,no,no,no,no,no,no,2,0,1,media_publishing,other,yes|yes|no|no|no|no|no|no|no|no|no|no|2|0|1|media_publishing|other,no|yes|no|no|no|no|no|no|no|no|no|no|2|0|1|media_publishing|other
4009,likely_good,heldout,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,0,2,1,media_publishing,not_outsourced,no|no|no|yes|no|yes|yes|no|yes|yes|no|no|0|2|1|media_publishing|not_outsourced,no|no|no|yes|no|yes|yes|no|yes|yes|no|no|0|2|1|media_publishing|not_outsourced
4183,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,0,2,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|1|other|not_outsourced
4245,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,healthcare_admin,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|healthcare_admin|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|healthcare_admin|other
4252,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,2,1,1,healthcare_admin,other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|healthcare_admin|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|healthcare_admin|other
4771,anchor_low,dev,no,no,no,yes,no,no,no,no,no,no,no,no,0,2,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|1|real_estate|other
4867,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,yes,2,0,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|yes|2|0|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|yes|2|0|1|real_estate|other
4973,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|manufacturing_quality|not_outsourced
5012,random,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,other,per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|other|per_item
5078,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|other|not_outsourced
5114,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,0,media_publishing,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|media_publishing|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|media_publishing|not_outsourced
5250,likely_good,dev,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,2,1,1,education,not_outsourced,yes|yes|no|no|yes|yes|no|no|yes|no|yes|no|2|1|1|education|not_outsourced,yes|yes|no|no|yes|yes|no|no|yes|no|yes|no|2|1|1|education|not_outsourced
5296,anchor_high,dev,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,1,2,3,government,not_outsourced,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|2|3|government|not_outsourced,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|2|3|government|not_outsourced
5434,random,dev,no,no,yes,no,no,no,no,no,no,yes,yes,no,3,0,1,sales_marketing,other,no|no|yes|no|no|no|no|no|no|yes|yes|no|3|0|1|sales_marketing|other,no|no|yes|no|no|no|no|no|no|yes|yes|no|3|0|1|sales_marketing|other
5457,likely_good,dev,no,no,no,no,no,no,no,no,no,no,no,no,3,0,0,education,not_outsourced,no|no|no|no|no|no|no|no|no|no|no|no|3|0|0|education|not_outsourced,no|no|no|no|no|no|no|no|no|no|no|no|3|0|0|education|other
5520,random,dev,yes,no,yes,no,no,no,no,no,no,no,yes,no,3,0,0,government,other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|0|government|other,yes|no|yes|no|no|no|no|no|no|no|yes|no|3|0|0|government|other
5647,likely_good,dev,yes,no,no,no,no,no,no,no,yes,yes,yes,no,2,1,1,government,not_outsourced,yes|no|no|no|no|no|no|no|yes|yes|yes|yes|2|1|1|government|not_outsourced,yes|no|no|no|no|no|no|no|yes|yes|yes|no|2|1|1|government|not_outsourced
5655,random,dev,no,yes,no,no,yes,yes,no,no,yes,yes,no,yes,1,1,1,government,not_outsourced,no|yes|no|no|yes|yes|no|no|yes|yes|no|yes|1|1|1|government|not_outsourced,no|yes|no|no|yes|yes|no|no|yes|yes|no|yes|1|1|1|government|other
5690,likely_good,heldout,no,no,no,no,no,no,no,no,no,no,yes,no,1,0,0,education,not_outsourced,no|no|no|no|no|no|no|no|no|no|yes|no|1|0|0|education|not_outsourced,no|no|no|no|no|no|no|no|no|no|yes|no|1|1|0|education|not_outsourced
5958,likely_good,dev,no,no,no,no,yes,no,no,no,no,no,no,no,2,0,0,education,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|0|education|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|0|education|not_outsourced
6013,likely_good,dev,no,no,no,no,yes,no,no,no,no,no,no,no,1,1,0,education,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|0|education|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|0|education|not_outsourced
6088,likely_good,dev,yes,yes,no,no,no,no,no,no,no,no,yes,no,2,0,1,education,not_outsourced,yes|yes|no|no|no|no|no|no|no|no|yes|no|2|0|1|education|not_outsourced,yes|yes|no|no|no|no|no|no|no|no|yes|no|2|0|1|education|not_outsourced
6305,likely_good,heldout,no,no,no,no,yes,no,no,no,no,no,no,no,1,0,0,education,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|0|0|education|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|0|0|education|not_outsourced
6419,random,dev,no,no,no,no,no,no,no,no,no,no,yes,no,1,1,1,education,not_outsourced,no|no|no|no|no|no|no|no|no|no|yes|no|2|1|1|education|not_outsourced,no|no|no|no|unsure|no|no|no|no|no|yes|no|1|1|1|education|not_outsourced
6530,random,dev,no,no,no,no,no,no,no,no,no,no,no,no,2,0,0,education,not_outsourced,no|no|no|no|no|no|no|no|no|no|no|no|2|0|0|education|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|0|education|other
6540,anchor_low,dev,no,no,no,yes,yes,no,no,no,yes,no,no,no,1,1,0,education,not_outsourced,no|no|no|yes|yes|no|no|no|yes|no|no|no|1|1|0|education|not_outsourced,no|no|no|yes|yes|no|no|no|yes|no|no|no|1|1|0|education|not_outsourced
6780,random,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,0,education,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|education|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|education|not_outsourced
6866,likely_good,dev,yes,yes,no,no,no,no,yes,no,no,no,yes,no,1,0,2,education,not_outsourced,yes|yes|no|no|no|no|yes|no|no|no|yes|no|1|0|2|education|not_outsourced,yes|yes|no|no|no|yes|yes|no|yes|no|yes|no|1|0|2|education|not_outsourced
6986,random,dev,no,yes,no,no,yes,yes,no,no,no,yes,no,no,0,1,0,education,per_item,no|yes|no|no|yes|yes|no|no|no|yes|no|no|0|2|0|education|not_outsourced,no|yes|no|no|yes|yes|no|no|no|yes|no|no|0|1|0|education|per_item
7015,random,dev,no,no,no,yes,no,no,no,no,no,yes,no,no,1,2,1,logistics_supply_chain,per_item,no|no|no|yes|no|no|no|no|no|yes|no|no|1|2|1|logistics_supply_chain|per_item,no|no|no|yes|no|no|no|no|no|yes|no|no|1|2|1|logistics_supply_chain|per_item
7023,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,0,logistics_supply_chain,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|0|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|0|logistics_supply_chain|other
7127,random,heldout,no,no,no,yes,no,no,no,no,no,yes,no,no,1,1,1,other,per_item,no|no|no|yes|no|no|no|no|no|yes|no|no|1|1|1|other|per_item,no|no|no|yes|no|no|no|no|no|yes|no|no|1|1|1|other|per_item
7180,likely_bad,dev,no,yes,no,yes,no,yes,no,no,no,no,no,no,0,1,1,government,not_outsourced,no|yes|no|yes|no|yes|no|no|no|no|no|no|0|1|1|government|not_outsourced,no|yes|no|yes|no|yes|no|no|no|no|no|no|0|2|1|government|not_outsourced
7232,random,dev,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,2,0,3,real_estate,other,yes|yes|no|no|no|no|yes|no|yes|no|yes|no|2|0|3|real_estate|other,yes|yes|no|no|no|no|yes|no|yes|yes|yes|no|2|0|3|real_estate|other
7284,likely_good,dev,yes,no,yes,no,no,no,no,no,no,no,yes,no,2,0,1,government,other,yes|no|yes|no|no|no|no|no|no|no|yes|no|2|0|1|government|other,yes|no|yes|no|no|no|no|no|no|no|yes|no|2|0|1|government|other
7494,random,dev,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,2,0,1,manufacturing_quality,other,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|2|0|1|manufacturing_quality|other,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|2|1|1|manufacturing_quality|other
7526,likely_good,heldout,no,no,yes,no,no,no,no,no,no,no,yes,no,3,0,0,education,not_outsourced,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|0|education|not_outsourced,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|0|education|not_outsourced
7598,random,heldout,no,no,no,yes,no,yes,no,no,yes,yes,no,no,1,0,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|yes|no|no|yes|yes|no|no|1|0|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|yes|no|no|yes|yes|no|no|1|0|1|manufacturing_quality|not_outsourced
7678,random,dev,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,1,1,1,media_publishing,not_outsourced,yes|yes|no|no|no|yes|no|no|yes|no|yes|no|1|1|1|media_publishing|not_outsourced,yes|yes|no|no|no|yes|no|no|yes|no|yes|no|1|1|1|media_publishing|not_outsourced
7880,anchor_low,dev,no,no,no,yes,no,no,no,no,no,no,no,yes,1,1,1,other,per_item,no|no|no|yes|no|no|no|no|no|no|no|yes|1|1|1|other|per_item,no|no|no|yes|no|no|no|no|no|no|no|yes|1|1|1|other|per_item
8264,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|real_estate|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|not_outsourced
8270,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other
8309,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced
8363,likely_bad,heldout,no,no,no,yes,no,yes,no,no,yes,yes,no,no,1,2,1,manufacturing_quality,per_item,no|no|no|yes|no|yes|no|no|yes|yes|no|no|1|2|1|manufacturing_quality|per_item,no|no|no|yes|no|yes|no|no|yes|yes|no|no|1|2|1|manufacturing_quality|not_outsourced
8378,likely_bad,dev,no,yes,no,yes,no,yes,no,no,yes,no,no,no,1,1,1,manufacturing_quality,per_item,no|yes|no|yes|no|yes|no|no|yes|no|no|no|1|1|1|manufacturing_quality|per_item,no|yes|no|yes|no|yes|no|no|yes|no|no|no|1|1|1|manufacturing_quality|per_item
8617,likely_bad,heldout,no,no,no,yes,no,no,no,no,yes,yes,no,no,1,0,1,logistics_supply_chain,not_outsourced,no|no|no|yes|no|no|no|no|yes|yes|no|no|1|0|1|logistics_supply_chain|not_outsourced,no|no|no|yes|no|no|no|no|yes|yes|no|no|1|0|1|logistics_supply_chain|not_outsourced
8848,likely_good,dev,yes,no,no,no,no,no,no,no,no,no,yes,no,3,0,1,other,other,yes|no|no|no|no|no|no|no|no|no|yes|no|3|0|1|other|other,yes|no|no|no|no|no|no|no|no|no|yes|no|3|0|1|other|other
9010,likely_good,dev,yes,no,no,no,no,no,no,no,yes,no,yes,no,2,0,1,manufacturing_quality,other,yes|no|no|no|no|no|no|no|yes|no|yes|no|2|0|1|manufacturing_quality|other,yes|no|no|no|no|no|no|no|yes|no|yes|no|3|0|1|manufacturing_quality|other
9236,anchor_high,dev,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,1,2,1,government,per_item,yes|yes|no|no|no|yes|no|no|yes|yes|yes|no|1|2|1|government|per_item,yes|yes|no|no|no|yes|no|no|yes|yes|no|no|1|2|1|government|not_outsourced
9241,likely_good,dev,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,1,1,3,insurance,per_item,yes|no|yes|no|no|yes|yes|no|yes|yes|yes|yes|1|1|3|insurance|per_item,no|no|yes|no|no|yes|yes|no|yes|yes|yes|yes|1|1|3|insurance|per_item
9269,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,2,1,1,sales_marketing,other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|sales_marketing|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|sales_marketing|other
9502,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,2,0,1,other,per_item,no|no|no|yes|no|no|no|no|no|no|no|no|2|0|1|other|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|0|1|other|per_item
9522,random,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,0,1,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|1|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|1|other|not_outsourced
9540,anchor_low,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other
9547,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|per_item
9551,random,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|other
9561,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,yes,no,no,1,2,1,other,other,no|no|no|yes|no|no|no|no|no|yes|no|no|1|2|1|other|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|other|other
9581,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,0,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|0|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|0|1|other|not_outsourced
9589,anchor_low,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|per_item
9597,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|other
